b_id,Color,Size,Act,Age,Inflated
1,YELLOW,SMALL,STRETCH,ADULT,T
2,YELLOW,,STRETCH,CHILD,T
3,YELLOW,SMALL,DIP,ADULT,T
4,YELLOW,SMALL,DIP,CHILD,F
5,YELLOW,SMALL,DIP,CHILD,F
6,YELLOW,LARGE,STRETCH,ADULT,T
7,YELLOW,LARGE,STRETCH,CHILD,T
8,YELLOW,LARGE,DIP,ADULT,T
9,YELLOW,LARGE,DIP,CHILD,F
10,YELLOW,LARGE,DIP,CHILD,F
11,PURPLE,SMALL,STRETCH,ADULT,T
12,PURPLE,SMALL,STRETCH,CHILD,T
13,PURPLE,SMALL,DIP,ADULT,T
14,PURPLE,SMALL,DIP,CHILD,F
15,PURPLE,SMALL,DIP,CHILD,F
16,PURPLE,LARGE,STRETCH,ADULT,T
17,PURPLE,LARGE,STRETCH,CHILD,T
18,PURPLE,LARGE,DIP,ADULT,T
19,PURPLE,LARGE,DIP,CHILD,F
20,PURPLE,,DIP,CHILD,F
21,YELLOW,LARGE,STRETCH,ADULT,T
22,YELLOW,LARGE,STRETCH,CHILD,T
23,YELLOW,LARGE,DIP,ADULT,T
24,YELLOW,LARGE,DIP,CHILD,F
25,YELLOW,LARGE,DIP,CHILD,F
26,PURPLE,SMALL,STRETCH,ADULT,T
27,PURPLE,SMALL,STRETCH,CHILD,T
28,PURPLE,SMALL,DIP,ADULT,T
29,PURPLE,SMALL,DIP,CHILD,F
30,PURPLE,SMALL,DIP,CHILD,F
31,PURPLE,,STRETCH,ADULT,T
